datetime,date,time,clicks
06-05-2020 18:00:00,06-05-2020,18:00:00,19116.0
06-05-2020 19:00:00,06-05-2020,19:00:00,17081.0
06-05-2020 20:00:00,06-05-2020,20:00:00,15409.0
06-05-2020 21:00:00,06-05-2020,21:00:00,13561.0
06-05-2020 22:00:00,06-05-2020,22:00:00,11234.0
06-05-2020 23:00:00,06-05-2020,23:00:00,8728.0
06-06-2020 00:00:00,06-06-2020,00:00:00,6720.0
06-06-2020 01:00:00,06-06-2020,01:00:00,5326.0
06-06-2020 02:00:00,06-06-2020,02:00:00,4626.0
06-06-2020 03:00:00,06-06-2020,03:00:00,4896.0
06-06-2020 04:00:00,06-06-2020,04:00:00,6337.0
06-06-2020 05:00:00,06-06-2020,05:00:00,8923.0
06-06-2020 06:00:00,06-06-2020,06:00:00,12282.0
06-06-2020 07:00:00,06-06-2020,07:00:00,15709.0
06-06-2020 08:00:00,06-06-2020,08:00:00,18064.0
06-06-2020 09:00:00,06-06-2020,09:00:00,19062.0
06-06-2020 10:00:00,06-06-2020,10:00:00,19457.0
06-06-2020 11:00:00,06-06-2020,11:00:00,19499.0
06-06-2020 12:00:00,06-06-2020,12:00:00,19406.0
06-06-2020 13:00:00,06-06-2020,13:00:00,18862.0
06-06-2020 14:00:00,06-06-2020,14:00:00,18192.0
06-06-2020 15:00:00,06-06-2020,15:00:00,17685.0
06-06-2020 16:00:00,06-06-2020,16:00:00,16429.0
06-06-2020 17:00:00,06-06-2020,17:00:00,15259.0
06-06-2020 18:00:00,06-06-2020,18:00:00,13852.0
06-06-2020 19:00:00,06-06-2020,19:00:00,13099.0
06-06-2020 20:00:00,06-06-2020,20:00:00,12389.0
06-06-2020 21:00:00,06-06-2020,21:00:00,11213.0
06-06-2020 22:00:00,06-06-2020,22:00:00,9674.0
06-06-2020 23:00:00,06-06-2020,23:00:00,8035.0
06-07-2020 00:00:00,06-07-2020,00:00:00,6584.0
06-07-2020 01:00:00,06-07-2020,01:00:00,5486.0
06-07-2020 02:00:00,06-07-2020,02:00:00,4784.0
06-07-2020 03:00:00,06-07-2020,03:00:00,4876.0
06-07-2020 04:00:00,06-07-2020,04:00:00,6079.0
06-07-2020 05:00:00,06-07-2020,05:00:00,8680.0
06-07-2020 06:00:00,06-07-2020,06:00:00,12646.0
06-07-2020 07:00:00,06-07-2020,07:00:00,16479.0
06-07-2020 08:00:00,06-07-2020,08:00:00,19272.0
06-07-2020 09:00:00,06-07-2020,09:00:00,20761.0
06-07-2020 10:00:00,06-07-2020,10:00:00,21586.0
06-07-2020 11:00:00,06-07-2020,11:00:00,22084.0
06-07-2020 12:00:00,06-07-2020,12:00:00,21788.0
06-07-2020 13:00:00,06-07-2020,13:00:00,21272.0
06-07-2020 14:00:00,06-07-2020,14:00:00,20618.0
06-07-2020 15:00:00,06-07-2020,15:00:00,20202.0
06-07-2020 16:00:00,06-07-2020,16:00:00,19448.0
06-07-2020 17:00:00,06-07-2020,17:00:00,18073.0
06-07-2020 18:00:00,06-07-2020,18:00:00,17171.0
06-07-2020 19:00:00,06-07-2020,19:00:00,16458.0
06-07-2020 20:00:00,06-07-2020,20:00:00,15810.0
06-07-2020 21:00:00,06-07-2020,21:00:00,14161.0
06-07-2020 22:00:00,06-07-2020,22:00:00,11890.0
06-07-2020 23:00:00,06-07-2020,23:00:00,9527.0
06-08-2020 00:00:00,06-08-2020,00:00:00,7428.0
06-08-2020 01:00:00,06-08-2020,01:00:00,5992.0
06-08-2020 02:00:00,06-08-2020,02:00:00,5326.0
06-08-2020 03:00:00,06-08-2020,03:00:00,5871.0
06-08-2020 04:00:00,06-08-2020,04:00:00,7908.0
06-08-2020 05:00:00,06-08-2020,05:00:00,12101.0
06-08-2020 06:00:00,06-08-2020,06:00:00,18538.0
06-08-2020 07:00:00,06-08-2020,07:00:00,26022.0
06-08-2020 08:00:00,06-08-2020,08:00:00,32291.0
06-08-2020 09:00:00,06-08-2020,09:00:00,36197.0
06-08-2020 10:00:00,06-08-2020,10:00:00,37647.0
06-08-2020 11:00:00,06-08-2020,11:00:00,37855.0
06-08-2020 12:00:00,06-08-2020,12:00:00,37151.0
06-08-2020 13:00:00,06-08-2020,13:00:00,36068.0
06-08-2020 14:00:00,06-08-2020,14:00:00,34153.0
06-08-2020 15:00:00,06-08-2020,15:00:00,32105.0
06-08-2020 16:00:00,06-08-2020,16:00:00,29575.0
06-08-2020 17:00:00,06-08-2020,17:00:00,26899.0
06-08-2020 18:00:00,06-08-2020,18:00:00,24168.0
06-08-2020 19:00:00,06-08-2020,19:00:00,21759.0
